bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:42
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:45
node;128.51%;0.26%;81.94MiB / 31.18GiB;215MB / 1.12GB;0B / 4.1kB;23 ;21:25:45
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:45
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:48
node;131.43%;0.26%;82.36MiB / 31.18GiB;216MB / 1.12GB;0B / 4.1kB;23 ;21:25:48
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:48
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:51
node;132.70%;0.26%;81.92MiB / 31.18GiB;218MB / 1.13GB;0B / 4.1kB;23 ;21:25:51
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:51
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:54
node;126.35%;0.26%;83.45MiB / 31.18GiB;219MB / 1.13GB;0B / 4.1kB;23 ;21:25:54
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:54
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:57
node;125.16%;0.26%;82.88MiB / 31.18GiB;220MB / 1.14GB;0B / 4.1kB;23 ;21:25:57
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:57
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:00
node;129.96%;0.26%;81.89MiB / 31.18GiB;222MB / 1.15GB;0B / 4.1kB;23 ;21:26:00
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:00
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:03
node;132.48%;0.26%;83.06MiB / 31.18GiB;223MB / 1.15GB;0B / 4.1kB;23 ;21:26:03
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:03
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:06
node;126.53%;0.26%;82.09MiB / 31.18GiB;224MB / 1.16GB;0B / 4.1kB;23 ;21:26:06
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:06
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:09
node;127.32%;0.26%;82.39MiB / 31.18GiB;226MB / 1.16GB;0B / 4.1kB;23 ;21:26:09
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:09
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:12
node;132.61%;0.26%;82.46MiB / 31.18GiB;227MB / 1.17GB;0B / 4.1kB;23 ;21:26:12
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:12
