gifted_nobel;144.86%;0.57%;183.6MiB;31.18GiB;536MB;3.3GB;0B;0B;21;21:03:04
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:07
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:07
gifted_nobel;139.76%;0.59%;189.4MiB;31.18GiB;539MB;3.3GB;0B;0B;21;21:03:07
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:10
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:10
gifted_nobel;144.24%;0.61%;195MiB;31.18GiB;543MB;3.31GB;0B;0B;21;21:03:10
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:13
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:13
gifted_nobel;143.59%;0.63%;200.5MiB;31.18GiB;546MB;3.32GB;0B;0B;21;21:03:13
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:16
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:16
gifted_nobel;142.35%;0.65%;206.5MiB;31.18GiB;550MB;3.33GB;0B;0B;21;21:03:16
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:19
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:19
gifted_nobel;147.80%;0.67%;213.5MiB;31.18GiB;555MB;3.34GB;0B;0B;21;21:03:19
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:22
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:22
gifted_nobel;141.52%;0.68%;217.6MiB;31.18GiB;557MB;3.34GB;0B;0B;21;21:03:22
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:25
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:25
gifted_nobel;141.94%;0.70%;223.6MiB;31.18GiB;561MB;3.35GB;0B;0B;21;21:03:25
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:28
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:28
